1|森林乌力|100250|1|120
2|乌力乌力|100251|1|120
3|乌力斯坦|100252|1|120
4|布比|100254|1|120
5|金布伊|100255|1|120
6|布伊|100256|1|120
7|布伊比|100257|1|120
8|加美|100259|1|120
9|加比|100260|1|120
10|加比奥|100261|1|120
11|加斯|100262|1|120
12|乌宝宝|100263|1|120
13|威威|100264|1|120
14|乌卡鲁|100265|1|120
15|威伯|100266|1|120
16|贝洛恩|100267|1|120
17|贝洛洛克|100268|1|120
18|贝洛宝克尔|100269|1|120
19|贝洛宝利|100270|1|120
20|龟之盾|100271|1|120
21|绿龟|100272|1|120
22|卡梅兰恩|100273|1|120
23|石龟|100274|1|120
24|阿哥亚|100275|1|120
25|尼可斯|100276|1|120
26|特洛昆|100277|1|120
27|达克尔|100278|1|120
28|拉奇鲁哥|100279|1|120
29|呼拔拔|100280|1|120
30|多萨金格|100281|1|120
31|鲁尼帖斯|100282|1|120
32|卡达鲁卡斯|100283|1|120
33|柯伊达|100284|1|120
34|柯洛加斯|100285|1|120
35|洛奇安|100286|1|120
36|利则诺顿|100287|1|120
37|扬奇洛斯|100288|1|120
38|邦浦洛斯|100289|1|120
39|邦奇诺|100290|1|120
40|克雷尔|100291|1|120
41|克克尔|100292|1|120
42|克洛尔|100293|1|120
43|里斯基|100294|1|120
44|卡比特|100295|1|120
45|凯比|100296|1|120
46|昆伊|100297|1|120
47|凯比特|100298|1|120
48|格尔顿|100307|1|120
49|奇拉顿|100308|1|120
50|齐尔格尔顿|100309|1|120
51|格尔格|100310|1|120
52|修宝|100319|1|120
53|卡拉宝斯|100320|1|120
54|布克布克|100321|1|120
55|多洛加|100322|1|120
56|卡克尔|100323|1|120
57|巴克|100324|1|120
58|鲍|100325|1|120
59|卡拉卡利|100326|1|120
60|贝鲁卡|100327|1|120
61|贝鲁伊卡|100328|1|120
62|格鲁西斯|100329|1|120
63|金格萨贝鲁|100330|1|120
64|贝恩达斯|100336|1|120
65|多利凯拉|100337|1|120
66|克邦凯斯|100339|1|120
